"AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted","returns"
1.934,1.953,1.9025,1.935,248102000,1.935,0.000517063081695968
1.9295,1.957,1.913,1.945,126368000,1.945,0.00516795865633068
1.936,1.9395,1.88,1.9185,132394000,1.9185,-0.013624678663239
1.911,1.9155,1.8585,1.875,135660000,1.875,-0.0226739640344019
1.88,1.903,1.867,1.889,114060000,1.889,0.00746666666666673
1.8745,1.885,1.8535,1.8575,130550000,1.8575,-0.0166754896770779
1.8585,1.9,1.8585,1.87,129312000,1.87,0.00672947510094213
1.868,1.9105,1.8635,1.91,89328000,1.91,0.0213903743315507
1.92,1.9445,1.8985,1.933,112874000,1.933,0.0120418848167541
1.935,1.95,1.889,1.894,100536000,1.894,-0.0201758923952406
1.875,1.8825,1.836,1.849,182100000,1.849,-0.0237592397043295
1.8345,1.874,1.83,1.851,121918000,1.851,0.00108166576527857
1.8825,1.895,1.84,1.8475,166340000,1.8475,-0.00189086980010811
1.845,1.8535,1.815,1.8215,106272000,1.8215,-0.0140730717185386
1.8255,1.868,1.825,1.863,105434000,1.863,0.022783420258029
1.904,1.9115,1.839,1.854,134952000,1.854,-0.00483091787439605
1.863,1.863,1.815,1.8425,82786000,1.8425,-0.00620280474649415
1.835,1.8725,1.827,1.8715,147900000,1.8715,0.0157394843962009
1.8645,1.871,1.8315,1.8525,96270000,1.8525,-0.0101522842639593
1.8475,1.9095,1.838,1.8835,145550000,1.8835,0.0167341430499324
1.8975,1.965,1.8925,1.935,522462000,1.935,0.0273427130342447
1.8615,1.887,1.834,1.8695,517014000,1.8695,-0.0338501291989665
1.8625,1.871,1.8385,1.858,122218000,1.858,-0.00615137737362925
1.86,1.9205,1.854,1.9135,172254000,1.9135,0.0298708288482239
1.9245,1.976,1.92,1.949,210064000,1.949,0.0185523909067156
1.9475,1.9755,1.9335,1.955,109672000,1.955,0.00307850179579261
1.9595,1.9655,1.933,1.936,119202000,1.936,-0.00971867007672644
1.9395,1.9495,1.918,1.9425,76714000,1.9425,0.00335743801652888
1.9425,1.9805,1.9425,1.9655,90110000,1.9655,0.0118404118404118
1.9615,2.014,1.957,2.007,136282000,2.007,0.0211142203001782
2.007,2.016,1.993,2.003,101764000,2.003,-0.00199302441454907
1.995,2.022,1.9935,2.0165,93580000,2.0165,0.00673989016475285
2.0065,2.087,2,2.0755,178068000,2.0755,0.0292586164145796
2.0595,2.066,2.046,2.063,90168000,2.063,-0.00602264514574791
2.07,2.1,2.0445,2.05,98522000,2.05,-0.00630150266602048
2.05,2.06,2.037,2.039,109948000,2.039,-0.00536585365853648
2.043,2.06,2.02,2.044,80704000,2.044,0.00245218244237355
2.0095,2.027,1.939,1.9415,177014000,1.9415,-0.050146771037182
1.9455,1.979,1.904,1.957,153748000,1.957,0.00798351789853213
1.966,1.966,1.9025,1.9425,185116000,1.9425,-0.00740929994890149
1.916,1.9435,1.8845,1.8845,155756000,1.8845,-0.0298584298584298
1.8575,1.916,1.852,1.8525,191312000,1.8525,-0.0169806314672327
1.8845,1.933,1.8705,1.929,256964000,1.929,0.0412955465587044
1.934,1.966,1.914,1.918,172892000,1.918,-0.00570243649559365
1.9385,1.961,1.899,1.905,152586000,1.905,-0.00677789363920744
1.924,1.9445,1.9,1.942,124002000,1.942,0.0194225721784778
1.932,1.9525,1.919,1.9405,97580000,1.9405,-0.000772399588053529
1.915,1.944,1.8845,1.891,104082000,1.891,-0.0255088894614789
1.888,1.911,1.863,1.904,171822000,1.904,0.00687466948704385
1.905,1.9145,1.8775,1.889,145314000,1.889,-0.00787815126050417
1.886,1.904,1.876,1.8925,137310000,1.8925,0.00185283218634202
1.9,1.927,1.9,1.9225,84532000,1.9225,0.0158520475561428
1.9265,1.9345,1.9115,1.929,76026000,1.929,0.00338101430429116
1.9275,1.99,1.9155,1.99,99928000,1.99,0.0316226023846553
1.974,1.986,1.9455,1.9745,106630000,1.9745,-0.00778894472361813
1.978,1.98,1.949,1.949,58830000,1.949,-0.0129146619397315
1.949,1.9525,1.9215,1.9505,70422000,1.9505,0.000769625448947986
1.941,1.971,1.938,1.9685,79872000,1.9685,0.00922840297359651
1.9545,1.9755,1.937,1.967,124044000,1.967,-0.000762001524002964
1.9825,1.996,1.965,1.9905,128104000,1.9905,0.0119471276054905
1.9875,2.012,1.971,1.9895,119938000,1.9895,-0.000502386335091587
1.9925,2.0235,1.9775,2.021,141826000,2.021,0.0158331239004774
2.021,2.069,2.02,2.0595,119364000,2.0595,0.0190499752597724
2.061,2.0775,2.046,2.0765,81294000,2.0765,0.00825443068706
2.0785,2.088,2.072,2.084,65768000,2.084,0.00361184685769333
2.086,2.107,2.0805,2.083,83654000,2.083,-0.000479846449136234
2.0785,2.098,2.073,2.093,68436000,2.093,0.00480076812289965
2.0865,2.0935,2.062,2.084,101568000,2.084,-0.00430004777830861
2.0865,2.1185,2.07,2.1135,95090000,2.1135,0.0141554702495201
2.1095,2.125,2.0965,2.1205,72200000,2.1205,0.00331204163709464
2.1885,2.265,2.1835,2.26,268880000,2.26,0.0657863711388824
2.264,2.266,2.2375,2.2535,147978000,2.2535,-0.00287610619469025
2.24,2.2575,2.2315,2.2495,99928000,2.2495,-0.00177501664078106
2.2305,2.2575,2.2205,2.232,96194000,2.232,-0.00777950655701254
2.2545,2.2585,2.226,2.2475,119610000,2.2475,0.00694444444444442
2.2135,2.2405,2.208,2.2385,141772000,2.2385,-0.0040044493882091
2.2375,2.25,2.2215,2.2375,397752000,2.2375,-0.000446727719455087
2.656,2.859,2.6475,2.8405,2086584000,2.8405,0.269497206703911
2.825,3.152,2.8035,3.139,1243590000,3.139,0.105087132547087
3.062,3.192,3.031,3.13,1014668000,3.13,-0.00286715514495062
3.0955,3.122,3.059,3.0665,479584000,3.0665,-0.0202875399361022
3.056,3.102,3.014,3.102,370380000,3.102,0.0115767161258764
3.084,3.1125,3.045,3.059,288544000,3.059,-0.0138620245003223
3.054,3.127,3.038,3.1095,269640000,3.1095,0.0165086629617521
3.1195,3.1875,3.1175,3.1615,285986000,3.1615,0.0167229458112237
3.1215,3.1615,3.0355,3.041,296166000,3.041,-0.0381148189150721
3.027,3.092,2.985,3.0915,271022000,3.0915,0.0166063794804341
3.1,3.1475,3.065,3.1425,177498000,3.1425,0.0164968461911694
3.122,3.1325,3.0425,3.046,201040000,3.046,-0.0307080350039778
3.048,3.08,3.028,3.078,158382000,3.078,0.0105055810899541
3.084,3.087,3.03,3.085,155208000,3.085,0.00227420402859013
3.07,3.0985,3.026,3.029,174042000,3.029,-0.0181523500810373
3.051,3.167,3.005,3.161,289708000,3.161,0.0435787388577089
3.144,3.176,3.101,3.1085,237418000,3.1085,-0.0166086681429928
3.124,3.165,3.114,3.165,195984000,3.165,0.0181759691169374
3.179,3.434,3.165,3.415,729376000,3.415,0.0789889415481833
3.424,3.4535,3.3605,3.444,344226000,3.444,0.0084919472913616
3.4605,3.6655,3.4395,3.45,851650000,3.45,0.00174216027874574
3.452,3.521,3.3855,3.4675,476492000,3.4675,0.00507246376811588
3.4845,3.485,3.4125,3.4275,199744000,3.4275,-0.0115356885364094
3.4215,3.489,3.386,3.4815,234616000,3.4815,0.0157549234135668
3.453,3.504,3.443,3.493,211522000,3.493,0.00330317391928769
3.534,3.537,3.4285,3.457,186204000,3.457,-0.0103063269395934
3.445,3.465,3.4175,3.429,140290000,3.429,-0.00809950824414229
3.4125,3.5325,3.3825,3.521,227610000,3.521,0.0268299795858851
3.555,3.712,3.543,3.6825,608850000,3.6825,0.0458676512354446
3.657,3.6875,3.593,3.6145,311820000,3.6145,-0.0184657162253904
3.6285,3.736,3.544,3.602,482764000,3.602,-0.00345829298658185
3.6235,3.662,3.5525,3.662,204090000,3.662,0.0166574125485841
3.65,3.6525,3.55,3.5585,223182000,3.5585,-0.0282632441288913
3.522,3.538,3.471,3.5035,236590000,3.5035,-0.0154559505409583
3.545,3.5945,3.4625,3.5445,238358000,3.5445,0.0117025831311546
3.545,3.606,3.54,3.597,164906000,3.597,0.0148116800677105
3.6425,3.6435,3.5595,3.62,196664000,3.62,0.00639421740339174
3.617,3.632,3.57,3.5915,156272000,3.5915,-0.00787292817679563
3.5775,3.583,3.484,3.4905,237420000,3.4905,-0.0281219546150634
3.5125,3.525,3.4525,3.455,183452000,3.455,-0.0101704626844291
3.458,3.4885,3.433,3.4835,152194000,3.4835,0.00824891461649768
3.4775,3.494,3.421,3.443,167652000,3.443,-0.0116262379790439
3.4675,3.4815,3.415,3.433,151870000,3.433,-0.00290444379901256
3.4265,3.4315,3.369,3.374,224956000,3.374,-0.0171861345761724
3.348,3.4105,3.3355,3.407,164858000,3.407,0.00978067575577946
3.423,3.5115,3.4075,3.4445,195644000,3.4445,0.0110067508071618
3.4515,3.4595,3.4075,3.4205,106332000,3.4205,-0.00696762955436203
3.4405,3.4855,3.41,3.4805,98122000,3.4805,0.0175412951322906
3.502,3.5025,3.451,3.4725,44470000,3.4725,-0.00229852032753919
3.468,3.4825,3.403,3.4365,89758000,3.4365,-0.01036717062635
3.4375,3.465,3.4005,3.4485,92306000,3.4485,0.00349192492361405
3.469,3.6175,3.451,3.6035,296338000,3.6035,0.0449470784399013
3.5825,3.597,3.5035,3.514,177708000,3.514,-0.0248369640627168
