"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1",3.081786,3.092143,2.925,2.992857,1238319600,2.547275
"2",3.001786,3.069643,2.993571,3.059286,847260400,2.603814
"3",3.063214,3.078571,3.014286,3.0375,834741600,2.585271
"4",3.07,3.090357,3.045714,3.0525,797106800,2.598039
"5",3.0875,3.320714,3.041071,3.306071,3349298400,2.813858
"6",3.383929,3.492857,3.3375,3.464286,2952880000,2.948518
"7",3.426429,3.456429,3.396429,3.421429,1440252800,2.912041
"8",3.378214,3.395,3.329643,3.379286,1312690400,2.876173
"9",3.417143,3.473214,3.408929,3.467857,1244076400,2.951556
"10",3.484286,3.485714,3.386429,3.391071,1646260000,2.886203
"11",3.289286,3.289643,3.180357,3.181071,2364605600,2.707468
"12",3.165357,3.201786,3.147143,3.160714,1364473600,2.690141
"13",3.183571,3.184286,3.058929,3.099643,1454026000,2.638163
"14",3.061786,3.125357,3.053929,3.060714,1207424400,2.605031
"15",3.095714,3.1125,3.074286,3.096429,927813600,2.635427
"16",3.111071,3.160714,3.0725,3.080357,905973600,2.621748
"17",3.111071,3.120357,3.035357,3.049286,986874000,2.595303
"18",3.082143,3.094643,3.054643,3.069286,901664400,2.612326
"19",3.086786,3.088929,3.044643,3.055357,577970400,2.60047
"20",3.030714,3.071429,3.0125,3.061786,856069200,2.605942
"21",3.079643,3.081071,3.026429,3.026429,664342000,2.575849
"22",3.004286,3.044643,2.989286,3.026786,621530000,2.576153
"23",3.010714,3.043929,2.997857,2.997857,578852400,2.551531
"24",3.016071,3.016786,2.959286,3.005357,864393600,2.557915
"25",3.017143,3.085,2.983929,3.076786,1066825200,2.618709
"26",3.051071,3.089643,3.050357,3.077857,679030800,2.61962
"27",3.067143,3.078571,2.971786,2.973929,860540800,2.531166
"28",3.015357,3.042143,2.986786,3.031429,724071600,2.580105
"29",3.041429,3.046071,3.010714,3.025,580986000,2.574634
"30",3.0225,3.058571,3.020357,3.046429,507981600,2.592872
"31",3.051429,3.057857,3.027857,3.043214,363661200,2.590136
"32",3.044643,3.050357,3.023571,3.029643,399868000,2.578585
"33",3.023214,3.077143,3.005714,3.067857,617702400,2.611109
"34",3.070714,3.196071,3.07,3.185714,1155313600,2.711419
"35",3.242857,3.243214,3.161786,3.196786,838224800,2.720843
"36",3.184286,3.226429,3.173214,3.181071,517893600,2.707468
"37",3.208571,3.214286,3.128929,3.161071,615848800,2.690446
"38",3.082143,3.11,2.978929,2.9975,1145813200,2.551227
"39",2.964286,3.057143,2.964286,3.021786,919475200,2.571898
"40",3.001071,3.153929,2.991071,3.109286,1415528800,2.64637
"41",3.098929,3.126429,3.043214,3.050357,860000400,2.596215
"42",3.0675,3.166071,3.062857,3.082857,838899600,2.623877
"43",3.135714,3.153929,3.121429,3.149643,723186800,2.680719
"44",3.144643,3.1775,3.123214,3.132857,626284400,2.666432
"45",3.163929,3.168571,3.123571,3.142857,511011200,2.674943
"46",3.171429,3.173214,3.121429,3.141786,451836000,2.674031
"47",3.145357,3.213929,3.1425,3.209643,729408400,2.731786
"48",3.193214,3.235714,3.157143,3.157143,867890800,2.687102
"49",3.164286,3.214286,3.14,3.214286,796586000,2.735738
"50",3.212857,3.227143,3.189643,3.198929,559498800,2.722667
"51",3.197857,3.213929,3.19,3.199643,571704000,2.723275
"52",3.222857,3.269643,3.199643,3.254643,712961200,2.770085
"53",3.2625,3.28,3.252143,3.267143,488916400,2.780725
"54",3.285357,3.357143,3.273214,3.3525,686896000,2.853374
"55",3.3475,3.37,3.321429,3.355714,561492400,2.85611
"56",3.333929,3.359643,3.332143,3.34,450884000,2.842736
"57",3.356786,3.425,3.332143,3.423214,864987200,2.91356
"58",3.418214,3.458214,3.392857,3.409286,932052800,2.901706
"59",3.388571,3.407143,3.326786,3.33,942337200,2.834224
"60",3.363929,3.363929,3.293929,3.348214,725723600,2.849727
"61",3.367143,3.381429,3.3125,3.318214,600558000,2.824193
"62",3.362143,3.366071,3.322143,3.344643,501992400,2.846687
"63",3.362143,3.401071,3.348571,3.375,583934400,2.872525
"64",3.390714,3.397857,3.361786,3.366786,476784000,2.865533
"65",3.361429,3.381429,3.34,3.381429,355516000,2.877996
"66",3.400357,3.403571,3.322857,3.344643,413341600,2.846687
"67",3.345357,3.366429,3.336071,3.366071,352466800,2.864924
"68",3.353571,3.355357,3.2975,3.306786,549018400,2.814466
"69",3.287143,3.296786,3.24,3.2925,656675600,2.802307
"70",3.246429,3.264286,3.216429,3.222857,719941600,2.743033
"71",3.234643,3.267857,3.223214,3.265357,609033600,2.779206
"72",3.285714,3.296429,3.203571,3.226786,751920400,2.746376
"73",3.22,3.244643,3.2,3.228571,464044000,2.747896
"74",3.221071,3.258929,3.208214,3.223929,425913600,2.743945
"75",3.246071,3.256429,3.233929,3.248929,522779600,2.765223
"76",3.271071,3.35,3.265,3.339643,780290000,2.842432
"77",3.355714,3.4425,3.260714,3.33,1055252800,2.834224
"78",3.365357,3.407143,3.35,3.405357,1187144000,2.898362
"79",3.627857,3.660714,3.510714,3.53,1737778000,3.004447
"80",3.506429,3.569643,3.488929,3.568571,699403600,3.037276
"81",3.574643,3.607143,3.559643,3.564286,616509600,3.033629
"82",3.556786,3.583929,3.519643,3.5525,532523600,3.023597
"83",3.558929,3.590714,3.5525,3.585357,505145200,3.051563
"84",3.5975,3.623214,3.571786,3.585714,576077600,3.051867
"85",3.6,3.628571,3.589286,3.600357,381987200,3.06433
"86",3.61,3.726786,3.6075,3.711429,861557200,3.158865
"87",3.695357,3.755357,3.693571,3.752143,783997200,3.193518
"88",3.746786,3.82,3.746071,3.817143,717757600,3.248841
"89",3.808214,3.887143,3.782857,3.833571,1197257600,3.262823
"90",3.847857,3.8975,3.813571,3.883571,653696400,3.305378
"91",3.915,3.928571,3.866071,3.905714,651946400,3.324225
"92",3.913214,3.935714,3.802857,3.84,954514400,3.268295
"93",3.876071,3.886786,3.693571,3.833571,1126767600,3.262823
"94",3.826786,3.923929,3.826786,3.908571,735291200,3.326656
"95",3.936786,3.951429,3.920357,3.929286,621345200,3.344288
"96",3.939643,4.016071,3.930357,3.999286,639892400,3.403865
"97",4.0175,4.0625,4.000357,4.055,572409600,3.451285
"98",4.072143,4.107143,4.021071,4.031786,911374800,3.431528
"99",4.028929,4.087857,3.941786,3.953214,887362000,3.364653
"100",4,4.063571,3.982143,4.057857,632959600,3.453717
"101",4.0875,4.102143,4.024643,4.083929,645694000,3.475907
"102",4.082143,4.245714,4.054643,4.241786,1478444800,3.610263
"103",4.288214,4.363214,4.269286,4.328214,1297066400,3.683822
"104",4.325,4.328214,4.224643,4.228571,885262000,3.599014
"105",4.236786,4.3475,4.210714,4.333214,886673200,3.688078
"106",4.336071,4.381786,4.303571,4.381071,920785600,3.72881
"107",4.367857,4.430357,4.355357,4.415714,1112241200,3.758296
"108",4.463929,4.5575,4.399643,4.431071,1915079600,3.771365
"109",4.493571,4.493929,4.3675,4.446071,1241682400,3.784132
"110",4.5,4.505357,4.269286,4.2925,1874258400,3.653425
"111",4.2625,4.346786,4.225357,4.299286,1426566400,3.659201
"112",4.326786,4.328214,4.121429,4.196429,1721353200,3.571657
"113",4.185714,4.266071,4.157857,4.241071,973266000,3.609653
