"","META.Open","META.High","META.Low","META.Close","META.Volume","META.Adjusted"
"1",42.049999,45,38,38.23,573576400,38.23
"2",36.529999,36.66,33,34.029999,168192700,34.029999
"3",32.610001,33.59,30.940001,31,101786600,31
"4",31.370001,32.5,31.360001,32,73600000,32
"5",32.950001,33.209999,31.77,33.029999,50237200,33.029999
"6",32.900002,32.950001,31.110001,31.91,37149800,31.91
"7",31.48,31.690001,28.65,28.84,78063400,28.84
"8",28.700001,29.549999,27.860001,28.190001,57267900,28.190001
"9",28.549999,29.67,26.83,29.6,111639200,29.6
"10",28.889999,29.15,27.389999,27.719999,41855500,27.719999
"11",27.200001,27.65,26.440001,26.9,35230300,26.9
"12",26.700001,27.76,25.75,25.870001,42473400,25.870001
"13",26.07,27.17,25.52,26.809999,61489200,26.809999
"14",27,27.35,26.15,26.309999,26159500,26.309999
"15",26.549999,27.76,26.440001,27.1,38034000,27.1
"16",27.18,28.07,26.84,27.01,28219600,27.01
"17",27.48,27.77,26.959999,27.4,15816800,27.4
"18",27.66,28.1,27.1,27.27,17102800,27.27
"19",27.65,28.32,27.379999,28.290001,16855000,28.290001
"20",28.51,30.1,28.35,30.01,43563800,30.01
"21",29.959999,32.080002,29.41,31.41,42978900,31.41
"22",31.540001,32.18,30.700001,31.91,30849000,31.91
"23",31.92,31.93,31.15,31.6,15553600,31.6
"24",31.67,32.5,31.51,31.84,21875300,31.84
"25",32.41,33.450001,32.060001,33.049999,74834000,33.049999
"26",32.860001,33.02,31.549999,32.060001,24352900,32.060001
"27",32.689999,33.439999,32.5,33.099998,24858700,33.099998
"28",32.459999,32.900002,31.9,32.23,28568000,32.23
"29",31.959999,32.189999,30.9,31.360001,17713300,31.360001
"30",31.92,31.99,30.76,31.1,19526900,31.1
"31",31.25,31.73,30.549999,30.77,14122000,30.77
"32",30.91,31.440001,30.799999,31.200001,8763600,31.200001
"33",31.32,31.629999,31.02,31.469999,10032100,31.469999
"34",31.440001,31.9,31.26,31.73,10945600,31.73
"35",32.099998,32.880001,31.99,32.169998,17785200,32.169998
"36",32.43,32.48,31.16,31.469999,14269500,31.469999
"37",31.48,31.559999,30.549999,30.969999,13030300,30.969999
"38",30.700001,31.4,30.6,30.809999,11300700,30.809999
"39",31.040001,31.07,30.559999,30.719999,8108300,30.719999
"40",30.5,30.5,28.209999,28.25,24672100,28.25
"41",28.48,28.59,27.15,28.09,30438600,28.09
"42",28.309999,29.290001,28.15,29.110001,16841800,29.110001
"43",29.41,29.5,28.629999,29,13685100,29
"44",29,29.469999,28.719999,28.76,11869100,28.76
"45",28.120001,29,28.01,28.75,12390700,28.75
