"","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted"
"1",3.714286,3.824286,3.677143,3.801429,16440900,3.801429
"2",3.772857,3.828571,3.585714,3.621429,15959300,3.621429
"3",3.62,3.62,3.492857,3.544286,15190700,3.544286
"4",3.545714,3.555714,3.367143,3.404286,18344900,3.404286
"5",3.427143,3.44,3.36,3.427143,10611300,3.427143
"6",3.424286,3.464286,3.411429,3.438571,11448500,3.438571
"7",3.422857,3.507143,3.411429,3.462857,9130100,3.462857
"8",3.408571,3.411429,3.241429,3.244286,22171100,3.244286
"9",3.464286,3.485714,3.242857,3.248571,30134300,3.248571
"10",3.26,3.292857,3.234286,3.261429,15204000,3.261429
"11",3.251429,3.282857,3.167143,3.178571,11298700,3.178571
"12",3.174286,3.26,3.171429,3.222857,12152000,3.222857
"13",3.264286,3.281429,3.114286,3.128571,18595500,3.128571
"14",3.114286,3.19,3.1,3.108571,20239100,3.108571
"15",3.128571,3.285714,3.042857,3.25,44220400,3.25
"16",3.415714,3.464286,3.245714,3.321429,64389500,3.321429
"17",3.365714,3.371429,3.25,3.307143,13869800,3.307143
"18",3.18,3.251429,3.151429,3.221429,21761600,3.221429
"19",3.234286,3.28,3.221429,3.275714,8789200,3.275714
"20",3.254286,3.304286,3.242857,3.258571,10256400,3.258571
"21",3.268571,3.3,3.235714,3.247143,7888300,3.247143
"22",3.25,3.297143,3.242857,3.262857,9864400,3.262857
"23",3.285714,3.285714,3.22,3.228571,5572700,3.228571
"24",3.214286,3.238571,3.165714,3.188571,15805300,3.188571
"25",3.178571,3.294286,3.175714,3.271429,11223800,3.271429
"26",3.354286,3.404286,3.301429,3.392857,19541900,3.392857
"27",3.397143,3.397143,3.297143,3.301429,7865200,3.301429
"28",3.29,3.352857,3.284286,3.304286,7119700,3.304286
"29",3.318571,3.321429,3.261429,3.271429,4841900,3.271429
"30",3.271429,3.312857,3.171429,3.228571,36174600,3.228571
"31",3.211429,3.242857,3.201429,3.214286,8286600,3.214286
"32",3.217143,3.272857,3.197143,3.267143,10532900,3.267143
"33",3.278571,3.371429,3.275714,3.358571,12290600,3.358571
"34",3.36,3.365714,3.317143,3.341429,64801800,3.341429
"35",3.345714,3.411429,3.345714,3.392857,8782900,3.392857
"36",3.394286,3.407143,3.357143,3.361429,8375500,3.361429
"37",3.387143,3.402857,3.071429,3.304286,6216700,3.304286
"38",3.252857,3.264286,3.157143,3.157143,12520200,3.157143
"39",3.158571,3.272857,3.155714,3.218571,8883000,3.218571
"40",3.194286,3.291429,3.157143,3.261429,12429200,3.261429
"41",3.261429,3.285714,3.181429,3.184286,8073100,3.184286
"42",3.144286,3.165714,3.007143,3.008571,17101000,3.008571
"43",3.035714,3.13,2.987143,3.062857,14133000,3.062857
"44",3.071429,3.085714,3.01,3.025714,8599500,3.025714
"45",3.03,3.09,3.03,3.034286,6320300,3.034286
"46",3.071429,3.071429,2.981429,3.008571,6686400,3.008571
"47",3,3.03,2.957143,3.011429,6709500,3.011429
"48",3,3.022857,2.928571,2.935714,9384200,2.935714
"49",2.93,3.021429,2.9,3.015714,8215900,3.015714
"50",3.024286,3.05,2.984286,3.022857,6435800,3.022857
"51",3.021429,3.031429,2.967143,3.002857,6666100,3.002857
"52",3.015714,3.071429,3.011429,3.051429,5712000,3.051429
"53",3.052857,3.255714,3.048571,3.211429,15969100,3.211429
"54",3.221429,3.33,3.168571,3.292857,15977500,3.292857
"55",3.285714,3.322857,3.258571,3.3,5699400,3.3
"56",3.285714,3.397143,3.275714,3.39,10215800,3.39
"57",3.392857,3.4,3.281429,3.322857,7420700,3.322857
"58",3.332857,3.385714,3.32,3.368571,9218300,3.368571
"59",3.374286,3.374286,3.295714,3.34,5481700,3.34
"60",3.344286,3.374286,3.268571,3.35,6681500,3.35
"61",3.344286,3.407143,3.3,3.312857,5320700,3.312857
"62",3.328571,3.39,3.312857,3.354286,7243600,3.354286
"63",3.365714,3.445714,3.358571,3.397143,8878100,3.397143
"64",3.411429,3.518571,3.338571,3.504286,14124600,3.504286
"65",3.491429,3.497143,3.44,3.457143,5451600,3.457143
"66",3.461429,3.508571,3.461429,3.477143,4174800,3.477143
"67",3.497143,3.57,3.497143,3.551429,8075200,3.551429
"68",3.531429,3.535714,3.475714,3.514286,6979000,3.514286
"69",3.492857,3.557143,3.451429,3.514286,5466300,3.514286
"70",3.51,3.522857,3.485714,3.514286,3591000,3.514286
"71",3.528571,3.542857,3.491429,3.502857,4580100,3.502857
"72",3.514286,3.514286,3.405714,3.422857,12124700,3.422857
"73",3.028571,3.184286,2.982857,3.1,54943000,3.1
"74",3.018571,3.072857,2.997143,3.072857,28145600,3.072857
"75",3.142857,3.164286,3.111429,3.157143,12862500,3.157143
"76",3.147143,3.154286,3.091429,3.104286,13811700,3.104286
"77",3.107143,3.121429,3.051429,3.088571,8918000,3.088571
"78",3.101429,3.161429,3.054286,3.08,8402800,3.08
"79",3.071429,3.18,3.071429,3.161429,9762200,3.161429
"80",3.171429,3.182857,3.132857,3.172857,5637800,3.172857
"81",3.171429,3.181429,3.138571,3.167143,9247700,3.167143
"82",3.161429,3.184286,3.117143,3.164286,9521400,3.164286
"83",3.131429,3.277143,3.127143,3.158571,18639600,3.158571
"84",3.147143,3.252857,3.141429,3.184286,13815900,3.184286
"85",3.221429,3.224286,3.142857,3.165714,6577900,3.165714
"86",3.165714,3.191429,3.162857,3.174286,4162200,3.174286
"87",3.155714,3.202857,3.128571,3.162857,5741400,3.162857
"88",3.144286,3.177143,3.137143,3.158571,3988600,3.158571
"89",3.144286,3.158571,3.117143,3.13,7143500,3.13
"90",3.108571,3.157143,3.091429,3.151429,4809000,3.151429
"91",3.144286,3.157143,3.102857,3.137143,4454100,3.137143
"92",3.134286,3.148571,3.088571,3.107143,4726400,3.107143
"93",3.108571,3.141429,3.031429,3.102857,5036500,3.102857
"94",3.081429,3.14,3.074286,3.117143,5142200,3.117143
"95",3.121429,3.144286,3.101429,3.134286,4446400,3.134286
"96",3.13,3.234286,3.122857,3.214286,6663300,3.214286
"97",3.208571,3.301429,3.182857,3.285714,7024500,3.285714
"98",3.284286,3.35,3.257143,3.312857,12280800,3.312857
"99",3.295714,3.347143,3.198571,3.22,6400800,3.22
"100",3.23,3.26,3.201429,3.217143,5974500,3.217143
"101",3.151429,3.157143,3.048571,3.121429,11567500,3.121429
"102",3.092857,3.154286,3.081429,3.151429,7326200,3.151429
"103",3.142857,3.182857,3.124286,3.128571,7028000,3.128571
"104",3.12,3.182857,3.05,3.081429,8029700,3.081429
"105",3.055714,3.09,3.05,3.068571,5546100,3.068571
"106",3.052857,3.088571,3.03,3.055714,5884900,3.055714
"107",3.048571,3.254286,3.044286,3.228571,33418000,3.228571
"108",3.257143,3.712857,3.254286,3.418571,59103100,3.418571
"109",3.428571,3.442857,3.291429,3.347143,14037800,3.347143
"110",3.178571,3.235714,3.115714,3.132857,18034800,3.132857
"111",3.002857,3.044286,2.841429,2.868571,40176500,2.868571
"112",2.785714,2.868571,2.721429,2.774286,27407800,2.774286
"113",2.771429,2.794286,2.727143,2.74,11363100,2.74
"114",2.864286,2.881429,2.802857,2.815714,22093400,2.815714
"115",2.917143,2.921429,2.842857,2.86,12236000,2.86
"116",2.891429,2.895714,2.842857,2.847143,7909300,2.847143
"117",2.882857,2.891429,2.787143,2.792857,6377700,2.792857
"118",2.791429,2.902857,2.787143,2.855714,10077900,2.855714
"119",2.86,2.874286,2.8,2.811429,7343000,2.811429
"120",2.821429,2.854286,2.794286,2.802857,6802600,2.802857
"121",2.851429,2.855714,2.785714,2.788571,5786200,2.788571
"122",2.791429,3.037143,2.787143,2.968571,21091700,2.968571
"123",2.955714,2.955714,2.825714,2.835714,14725200,2.835714
"124",2.867143,2.881429,2.765714,2.77,12084100,2.77
"125",2.785714,2.835714,2.767143,2.782857,7970200,2.782857
"126",2.801429,2.855714,2.798571,2.824286,3085600,2.824286
"127",2.85,2.871429,2.824286,2.831429,6480600,2.831429
"128",2.834286,2.925714,2.834286,2.912857,8071000,2.912857
"129",2.928571,2.957143,2.901429,2.918571,8169000,2.918571
"130",2.915714,2.977143,2.857143,2.874286,8853600,2.874286
"131",2.891429,2.891429,2.842857,2.858571,5497100,2.858571
"132",2.858571,2.911429,2.841429,2.872857,5622400,2.872857
"133",2.86,2.921429,2.86,2.877143,4643800,2.877143
"134",2.891429,2.901429,2.857143,2.865714,5152700,2.865714
"135",2.861429,2.9,2.858571,2.887143,4524800,2.887143
"136",2.891429,2.891429,2.821429,2.874286,6498100,2.874286
"137",2.857143,2.89,2.821429,2.848571,5192600,2.848571
"138",2.848571,2.848571,2.8,2.804286,9616600,2.804286
"139",2.577143,2.584286,2.452857,2.467143,53727800,2.467143
